iter	Passed	Remaining
0	1	542
1	3	523
2	5	515
3	7	524
4	8	527
5	10	522
6	12	523
7	14	521
8	15	512
9	17	505
10	19	500
11	20	498
12	22	496
13	24	494
14	25	487
15	27	484
16	29	484
17	30	481
18	32	480
19	34	478
20	35	477
21	37	476
22	39	476
23	41	474
24	43	473
25	45	475
26	46	472
27	48	469
28	50	468
29	51	464
30	53	461
31	54	459
32	56	456
33	57	453
34	59	450
35	61	450
36	62	447
37	64	445
38	66	443
39	68	442
40	69	441
41	71	440
42	73	438
43	75	436
44	76	435
45	78	434
46	80	432
47	82	431
48	84	431
49	85	429
50	87	428
51	89	425
52	90	423
53	92	422
54	94	421
55	96	418
56	97	416
57	99	414
58	101	413
59	102	411
60	104	409
61	106	407
62	107	405
63	109	404
64	111	403
65	113	402
66	115	400
67	116	398
68	118	396
69	120	394
70	121	392
71	123	390
72	124	388
73	126	386
74	128	384
75	129	382
76	131	380
77	133	379
78	134	377
79	136	375
80	138	373
81	140	372
82	141	370
83	143	369
84	145	367
85	146	365
86	148	363
87	150	361
88	151	359
89	153	357
90	155	356
91	156	354
92	158	353
93	160	351
94	162	349
95	163	347
96	165	346
97	167	344
98	168	343
99	170	341
100	172	339
101	173	337
102	175	335
103	177	333
104	178	331
105	180	329
106	181	327
107	183	326
108	185	324
109	187	323
110	188	321
111	190	319
112	191	317
113	193	315
114	195	314
115	197	312
116	198	310
117	200	308
118	201	307
119	203	305
120	205	303
121	206	301
122	208	300
123	209	298
124	211	296
125	213	294
126	215	293
127	217	291
128	218	290
129	220	288
130	222	286
131	223	284
132	225	283
133	227	281
134	229	280
135	230	278
136	232	276
137	234	275
138	236	273
139	237	271
140	239	269
141	240	268
142	242	266
143	244	264
144	245	262
145	247	261
146	249	259
147	251	257
148	252	256
149	254	254
150	256	252
151	257	251
152	259	249
153	260	247
154	262	245
155	264	243
156	265	241
157	267	240
158	268	238
159	270	236
160	272	235
161	273	233
162	275	231
163	277	229
164	278	228
165	280	226
166	281	224
167	283	222
168	285	221
169	286	219
170	288	217
171	290	216
172	292	214
173	293	212
174	295	210
175	297	209
176	298	207
177	300	205
178	301	204
179	303	202
180	305	200
181	307	199
182	308	197
183	310	195
184	312	193
185	313	192
186	315	190
187	317	189
188	318	187
189	320	185
190	322	183
191	323	182
192	325	180
193	327	178
194	328	177
195	330	175
196	332	173
197	333	171
198	335	170
199	336	168
200	338	166
201	340	165
202	341	163
203	343	161
204	345	159
205	346	158
206	348	156
207	349	154
208	351	153
209	353	151
210	354	149
211	356	147
212	357	146
213	359	144
214	361	142
215	362	141
216	364	139
217	366	137
218	367	136
219	369	134
220	371	132
221	373	131
222	374	129
223	376	127
224	377	125
225	379	124
226	381	122
227	383	120
228	384	119
229	386	117
230	388	115
231	389	114
232	391	112
233	392	110
234	394	109
235	396	107
236	397	105
237	399	104
238	401	102
239	402	100
240	404	99
241	405	97
242	407	95
243	409	93
244	410	92
245	412	90
246	414	88
247	415	87
248	417	85
249	419	83
250	420	82
251	422	80
252	424	78
253	425	77
254	427	75
255	428	73
256	430	72
257	432	70
258	433	68
259	435	67
260	437	65
261	439	63
262	440	62
263	442	60
264	444	58
265	445	56
266	447	55
267	449	53
268	450	51
269	452	50
270	453	48
271	455	46
272	457	45
273	459	43
274	461	41
275	463	40
276	464	38
277	466	36
278	468	35
279	469	33
280	471	31
281	472	30
282	474	28
283	475	26
284	477	25
285	479	23
286	480	21
287	482	20
288	483	18
289	485	16
290	487	15
291	489	13
292	490	11
293	492	10
294	494	8
295	496	6
296	498	5
297	499	3
298	501	1
299	502	0
