Market,Order Quantity,Order Price,Filled Price,Trigger Price,Filled Quantity,feeInfo,Direction,Order Type,Order Status,Order ID,Order Time(UTC+0),Time In Force,Create Time,Max Slippage,Max Slippage Type,Limit Tpsl Strategy,Bbo Side Type,Bbo Level
SOLUSDT,0.1,84.94,80.9,,0.1,"{""USDT"":""0.0044495""}",Long,Market,Filled, cd4a29b2,12:00 2026-06-01,IOC,12:00 2026-06-01,,,Price,,
BTCUSDT,0.001,0,0,71084.0,0.0,,Long,Market,Deactivated, aaf1a91e,11:57 2026-06-01,IOC,11:57 2026-06-01,,,Price,,
BTCUSDT,0.001,0,0,73189.6,0.0,,Long,Market,Deactivated, c24d9196,11:57 2026-06-01,IOC,11:57 2026-06-01,,,Price,,
BTCUSDT,0.001,71886.8,72608.7,,0.001,"{""USDT"":""0.03993479""}",Short,Market,Filled, bf8fdce8,11:57 2026-06-01,IOC,11:57 2026-06-01,,,Price,,
ETHUSDT,0.01,1942.95,1982.61,,0.01,"{""USDT"":""0.01090436""}",Short,Market,Filled, 07ea7d52,11:50 2026-06-01,IOC,11:50 2026-06-01,,,Price,,
SOLUSDT,0.1,0,0,81.6,0.0,,Long,Market,Deactivated, b4f91e8a,11:49 2026-06-01,IOC,11:49 2026-06-01,,,Price,,
SOLUSDT,0.1,0,0,79.26,0.0,,Long,Market,Deactivated, dba5bcdb,11:49 2026-06-01,IOC,11:49 2026-06-01,,,Price,,
SOLUSDT,0.1,76.9,80.95,,0.1,"{""USDT"":""0.00445225""}",Short,Market,Filled, 83377f1d,11:49 2026-06-01,IOC,11:49 2026-06-01,,,Price,,
ETHUSDT,0.01,0,0,1969.71,0.0,,Short,Market,Deactivated, a08009a4,11:47 2026-06-01,IOC,11:47 2026-06-01,,,Price,,
ETHUSDT,0.01,0,0,2027.29,0.0,,Short,Market,Deactivated, 1f2ae827,11:47 2026-06-01,IOC,11:47 2026-06-01,,,Price,,
ETHUSDT,0.01,2025.42,1985.6,,0.01,"{""USDT"":""0.0109208""}",Long,Market,Filled, 66d8d81d,11:47 2026-06-01,IOC,11:47 2026-06-01,,,Price,,
